"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Apr 21 14:42:31 EEST 2022","Thu Apr 21 14:42:31 EEST 2022","0","","My test application","","My test application","second task","second task",""
"skipped","Thu Apr 21 14:42:31 EEST 2022","Thu Apr 21 14:42:37 EEST 2022","5857","","My test application","","My test application","using only xpath locators","using only xpath locators",""
"skipped","Thu Apr 21 14:42:31 EEST 2022","Thu Apr 21 14:42:31 EEST 2022","1","","My test application","","My test application","first task","first task",""
"skipped","Thu Apr 21 14:42:31 EEST 2022","Thu Apr 21 14:42:31 EEST 2022","0","","My test application","","My test application","using css and xpath locators","using css and xpath locators",""
